storenum,open_date,date_super,conversion,st,County Code,Address,City,State,zipcode,store type,open_dateyear,date_super2
131,11/1/1975,3/1/1990,1,48,449,2311 SOUTH JEFFERSON,Mt. Pleasant,TX,75455,Supercenter,1975,1990
146,3/1/1976,3/1/1997,1,48,459,1923 NORTH WOOD,Gilmer,TX,75644,Supercenter,1976,1997
142,5/1/1976,,,48,387,2204 HWY 82 WEST,Clarksville,TX,75426,Wal-Mart,1976,1900
148,6/1/1976,3/1/1996,1,48,277,3855 LAMAR AVENUE,Paris,TX,75460,Supercenter,1976,1996
147,7/1/1976,3/1/1995,1,48,181,401 NORTH US HWY 75,Denison,TX,75020,Supercenter,1976,1995
140,9/1/1976,7/17/2002,1,48,5,2500 DANIEL MCCALL DRIVE,Lufkin,TX,75901,Supercenter,1976,2002
163,2/1/1977,3/1/1993,1,48,347,4810 NORTH STREET,Nacogdoches,TX,75965,Supercenter,1977,1993
158,5/1/1977,3/1/1997,1,48,147,2021 NORTH HWY 121,Bonham,TX,75418,Supercenter,1977,1997
165,5/1/1977,3/1/1996,1,48,401,2121 HWY 79 SOUTH,Henderson,TX,75654,Supercenter,1977,1996
180,3/14/1978,3/1/1994,1,48,73,1311 SOUTH JACKSON,Jacksonville,TX,75766,Supercenter,1978,1994
206,3/28/1978,7/20/2005,1,48,85,2041 REDBUD BLVD,McKinney,TX,75069,Supercenter,1978,2005
181,8/8/1978,5/18/2005,1,48,37,800 JAMES BOWIE DRIVE,New Boston,TX,75570,Supercenter,1978,2005
217,9/5/1978,3/1/1999,1,48,121,801 WEST MAIN,Lewisville,TX,75067,Supercenter,1978,1999
211,9/12/1978,3/1/1998,1,48,217,401 COKE STREET,Hillsboro,TX,76645,Supercenter,1978,1998
228,9/19/1978,3/1/1995,1,48,251,1616 WEST HENDERSON,Cleburne,TX,76031,Supercenter,1978,1995
214,10/10/1978,3/1/1994,1,48,241,800 WEST GIBSON,Jasper,TX,75951,Supercenter,1978,1994
220,10/17/1978,3/1/1995,1,48,251,951 SW WILSHIRE BLVD,Burleson,TX,76028,Supercenter,1978,1995
226,10/17/1978,3/1/1997,1,48,67,201 US HWY 59 LOOP,Atlanta,TX,75551,Supercenter,1978,1997
236,2/1/1979,3/1/1998,1,48,225,1225 E LOOP 304,Crockett,TX,75835,Supercenter,1979,1998
249,3/6/1979,3/1/2000,1,48,291,831 HWY 59 SOUTH,Cleveland,TX,77327,Supercenter,1979,2000
240,6/19/1979,3/1/2000,1,48,231,2701 HWY 50,Commerce,TX,75428,Supercenter,1979,2000
251,7/10/1979,3/1/1994,1,48,499,135 NE LOOP 564,Mineola,TX,75773,Supercenter,1979,1994
260,7/17/1979,3/1/1996,1,48,139,1200 NO. HWY 77,Waxahachie,TX,75165,Supercenter,1979,1996
271,8/7/1979,8/25/2004,1,48,337,8420 US HWY 287 NO.,Bowie,TX,76230,Supercenter,1979,2004
248,8/28/1979,3/1/2000,1,48,293,1406 EAST MILAM,Mexia,TX,76667,Supercenter,1979,2000
259,8/28/1979,3/1/1996,1,48,397,782 INTERSTATE 30,Rockwall,TX,75087,Supercenter,1979,1996
265,9/25/1979,3/1/1997,1,48,257,1900 WEST MOORE AVE,Terrell,TX,75160,Supercenter,1979,1997
284,9/25/1979,3/1/1998,1,48,439,930 N WALNUT CREEK DRIVE,Mansfield,TX,76063,Supercenter,1979,1998
285,9/25/1979,3/1/1994,1,48,471,141 INTER STATE 45 SOUTH,Huntsville,TX,77320,Supercenter,1979,1994
275,10/23/1979,3/1/1995,1,48,373,1620 WEST CHURCH,Livingston,TX,77351,Supercenter,1979,1995
77,10/30/1979,7/21/2004,1,48,491,3701 NORTH MAIN ST.,Taylor,TX,76574,Supercenter,1979,2004
280,10/30/1979,3/23/2005,1,48,331,709 WEST HWY 79,Rockdale,TX,76567,Supercenter,1979,2005
288,10/30/1979,1/26/2005,1,48,457,115 COBB MILL ROAD,Woodville,TX,75979,Supercenter,1979,2005
286,12/4/1979,10/16/2002,1,48,139,700 EAST ENNIS AVE.,Ennis,TX,75119,Supercenter,1979,2002
